Line,Reference designator(s),Quantity,Description,Value / part number,Package / specification,Required,Notes
1,U1-U2,2,Dual positive-edge-triggered D flip-flop with asynchronous preset and clear,74LS74,DIP-14,true,Provides the S A and B state registers; tie unused flip-flop inputs to defined levels.
2,U3,1,Quad 2-input XOR gate,74LS86,DIP-14,true,Three gates implement A(next) B(next) and the S XOR term.
3,U4,1,Quad 2-input AND gate,74LS08,DIP-14,true,One gate implements X AND B.
4,U5,1,3-to-8 line decoder active-low outputs,74LS138,DIP-16,true,Decodes the three stored state bits to one selected display output.
5,U6,1,Hex Schmitt-trigger inverter,74LS14,DIP-14,true,Debounces and inverts the manual clock signal.
6,D1-D8,8,LED,Red 3 mm or 5 mm,THT,true,Connect anodes through R1-R8 to +5 V and cathodes to the active-low 74LS138 outputs.
7,R1-R8,8,LED current-limiting resistor,470 ohm 1/4 W,Axial THT,true,About 6 mA with a typical red LED; suitable for 74LS138 output sinking.
8,R9-R10,2,Input pull-down resistor,10 kohm 1/4 W,Axial THT,true,Defines X and Y as logic 0 when their switches are open.
9,R11,1,Clock pull-up resistor,10 kohm 1/4 W,Axial THT,true,Used with SW3 and C1 in the debounce network.
10,R12,1,Reset pull-up resistor,4.7 kohm to 10 kohm 1/4 W,Axial THT,true,Holds the active-low 74LS74 clear inputs inactive when SW4 is open.
11,C1,1,Clock debounce capacitor,100 nF ceramic,Radial THT,true,Use with R11 and U6; adjust if the selected switch needs a longer debounce interval.
12,C2-C7,6,IC bypass capacitor,100 nF ceramic X7R,Radial THT,true,Install one directly across the 5 V and GND pins of each TTL IC.
13,SW1-SW2,2,Logic input switch,SPST toggle or jumper,Panel or breadboard,true,Connect each switch from +5 V to X or Y; R9-R10 pull the inputs low.
14,SW3,1,Manual clock pushbutton,SPST normally open,Breadboard THT,true,Connect to the R11/C1/U6 debounce node; one press advances one state.
15,SW4,1,Reset pushbutton,SPST normally open,Breadboard THT,true,Connect from the shared active-low clear net to GND; clears the state to 000.
16,PS1,1,Regulated power supply,5 V DC >= 250 mA,Bench or breadboard module,true,Use a regulated supply suitable for 74LS TTL.
17,BB1,1,Solderless breadboard,Full-size 830 tie-point or equivalent,Assembly platform,true,Assembly platform; a PCB may be substituted.
18,W1,1,Wire-wrap wire kit,28 AWG solid insulated; red black green yellow blue white,Wire-wrap compatible,true,Solder one end to each panel-switch terminal and wrap the other end onto a proper wire-wrap post. Reserve red for +5 V black for ground green for clock/control yellow for manual inputs blue for ordinary state/logic and white for active-low signals.
19,U7,1,Retriggerable monostable multivibrator,74LS123,DIP-16,false,Optional one-shot stage if the debounced pushbutton must guarantee a single fixed-width clock pulse.
